Cond,CondTag,Item,1,2,3,4,5,6,7,8,9,10,11,12,13,sentence,question,correct,incorrect,ibex
exp.caus.tran,1,101,What,did,the,clown,pop,at,the,party?,,,,,,What did the clown pop at the party?,Natural?,j,f,"[[""exp.caus.tran.101"", 101], ""DashedSentence"", {s: ""What did the clown pop at the party?""}, ""Question"", { } ],"
exp.caus.intr,2,101,When,did,the,balloons,pop,at,the,party?,,,,,,When did the balloons pop at the party?,Natural?,j,f,"[[""exp.caus.intr.101"", 101], ""DashedSentence"", {s: ""When did the balloons pop at the party?""}, ""Question"", { } ],"
exp.caus.tran,1,102,What,did,the,maid,shrink,at,the,laundromat?,,,,,,What did the maid shrink at the laundromat?,Natural?,j,f,"[[""exp.caus.tran.102"", 102], ""DashedSentence"", {s: ""What did the maid shrink at the laundromat?""}, ""Question"", { } ],"
exp.caus.intr,2,102,When,did,the,sweater,shrink,at,the,laundromat?,,,,,,When did the sweater shrink at the laundromat?,Natural?,j,f,"[[""exp.caus.intr.102"", 102], ""DashedSentence"", {s: ""When did the sweater shrink at the laundromat?""}, ""Question"", { } ],"
exp.caus.tran,1,106,What,did,the,leak,corrode,in,the,bathroom,wall?,,,,,What did the leak corrode in the bathroom wall?,Natural?,j,f,"[[""exp.caus.tran.106"", 106], ""DashedSentence"", {s: ""What did the leak corrode in the bathroom wall?""}, ""Question"", { } ],"
exp.caus.intr,2,106,When,did,the,pipe,corrode,in,the,bathroom,wall?,,,,,When did the pipe corrode in the bathroom wall?,Natural?,j,f,"[[""exp.caus.intr.106"", 106], ""DashedSentence"", {s: ""When did the pipe corrode in the bathroom wall?""}, ""Question"", { } ],"
exp.caus.tran,1,107,What,did,the,mechanic,deflate,at,the,automotive,repair,shop?,,,,What did the mechanic deflate at the automotive repair shop?,Natural?,j,f,"[[""exp.caus.tran.107"", 107], ""DashedSentence"", {s: ""What did the mechanic deflate at the automotive repair shop?""}, ""Question"", { } ],"
exp.caus.intr,2,107,When,did,the,tire,deflate,at,the,automotive,repair,shop?,,,,When did the tire deflate at the automotive repair shop?,Natural?,j,f,"[[""exp.caus.intr.107"", 107], ""DashedSentence"", {s: ""When did the tire deflate at the automotive repair shop?""}, ""Question"", { } ],"
exp.caus.tran,1,109,What,did,the,chemist,dissolve,in,the,beaker?,,,,,,What did the chemist dissolve in the beaker?,Natural?,j,f,"[[""exp.caus.tran.109"", 109], ""DashedSentence"", {s: ""What did the chemist dissolve in the beaker?""}, ""Question"", { } ],"
exp.caus.intr,2,109,When,did,the,powder,dissolve,in,the,beaker?,,,,,,When did the powder dissolve in the beaker?,Natural?,j,f,"[[""exp.caus.intr.109"", 109], ""DashedSentence"", {s: ""When did the powder dissolve in the beaker?""}, ""Question"", { } ],"
exp.caus.tran,1,110,What,did,the,sunlight,fade,on,the,dining,room,wall?,,,,What did the sunlight fade on the dining room wall?,Natural?,j,f,"[[""exp.caus.tran.110"", 110], ""DashedSentence"", {s: ""What did the sunlight fade on the dining room wall?""}, ""Question"", { } ],"
exp.caus.intr,2,110,When,did,the,photograph,fade,on,the,dining,room,wall?,,,,When did the photograph fade on the dining room wall?,Natural?,j,f,"[[""exp.caus.intr.110"", 110], ""DashedSentence"", {s: ""When did the photograph fade on the dining room wall?""}, ""Question"", { } ],"
exp.caus.tran,1,112,What,did,the,bride,fray,on,the,wedding,dress?,,,,,What did the bride fray on the wedding dress?,Natural?,j,f,"[[""exp.caus.tran.112"", 112], ""DashedSentence"", {s: ""What did the bride fray on the wedding dress?""}, ""Question"", { } ],"
exp.caus.intr,2,112,When,did,the,hem,fray,on,the,wedding,dress?,,,,,When did the hem fray on the wedding dress?,Natural?,j,f,"[[""exp.caus.intr.112"", 112], ""DashedSentence"", {s: ""When did the hem fray on the wedding dress?""}, ""Question"", { } ],"
exp.caus.tran,1,113,What,did,the,researcher,freeze,in,the,chemistry,lab?,,,,,What did the researcher freeze in the chemistry lab?,Natural?,j,f,"[[""exp.caus.tran.113"", 113], ""DashedSentence"", {s: ""What did the researcher freeze in the chemistry lab?""}, ""Question"", { } ],"
exp.caus.intr,2,113,When,did,the,liquid,freeze,in,the,chemistry,lab?,,,,,When did the liquid freeze in the chemistry lab?,Natural?,j,f,"[[""exp.caus.intr.113"", 113], ""DashedSentence"", {s: ""When did the liquid freeze in the chemistry lab?""}, ""Question"", { } ],"
exp.caus.tran,1,114,What,did,the,gardener,grow,next,to,the,daffodils?,,,,,What did the gardener grow next to the daffodils?,Natural?,j,f,"[[""exp.caus.tran.114"", 114], ""DashedSentence"", {s: ""What did the gardener grow next to the daffodils?""}, ""Question"", { } ],"
exp.caus.intr,2,114,When,did,the,tomatoes,grow,next,to,the,daffodils?,,,,,When did the tomatoes grow next to the daffodils?,Natural?,j,f,"[[""exp.caus.intr.114"", 114], ""DashedSentence"", {s: ""When did the tomatoes grow next to the daffodils?""}, ""Question"", { } ],"
exp.caus.tran,1,115,What,did,the,manager,halt,in,the,car,factory?,,,,,What did the manager halt in the car factory?,Natural?,j,f,"[[""exp.caus.tran.115"", 115], ""DashedSentence"", {s: ""What did the manager halt in the car factory?""}, ""Question"", { } ],"
exp.caus.intr,2,115,When,did,the,machine,halt,in,the,car,factory?,,,,,When did the machine halt in the car factory?,Natural?,j,f,"[[""exp.caus.intr.115"", 115], ""DashedSentence"", {s: ""When did the machine halt in the car factory?""}, ""Question"", { } ],"
exp.caus.tran,1,117,What,did,the,principal,improve,for,the,second,grade,class?,,,,What did the principal improve for the second grade class?,Natural?,j,f,"[[""exp.caus.tran.117"", 117], ""DashedSentence"", {s: ""What did the principal improve for the second grade class?""}, ""Question"", { } ],"
